gene,length
4hbt%fig|1000568.3.peg.1292|HMPREF1039_0933|VBIMegSp189321_1292|,1305
4hbt%fig|1000569.4.peg.840|HMPREF1040_1425|VBIMegSp187765_0840|,1299
4hbt%fig|1002369.4.peg.3234|HMPREF9945_03357|VBICloDif188236_3234|,1308
4hbt%fig|1009370.3.peg.814|ALO_04061|VBIAceLon187030_0814|,0
4hbt%fig|1030843.3.peg.1752|PGTDC60_1815|VBIPorGin195531_1752|,1296
4hbt%fig|1033744.3.peg.679|VBIPepSp206844_0679|,1302
4hbt%fig|1079111.3.peg.4331|VBIDehSp259278_4331|,1581
4hbt%fig|1095009.4.peg.4042|,1233
4hbt%fig|1095747.3.peg.1569|HMPREF1049_1041|VBIFusNec223292_1569|,1311
4hbt%fig|1105031.3.peg.1575|HMPREF1141_1238|VBICloSp217542_1575|,1302
4hbt%fig|1105031.3.peg.2860|HMPREF1141_3254|VBICloSp217542_2860|,1299
4hbt%fig|111105.10.peg.518|HQ42_02645|,1296
4hbt%fig|111105.11.peg.1705|HR08_08610|,1296
4hbt%fig|111105.12.peg.2183|HR09_11055|,1296
4hbt%fig|111105.13.peg.1199|HR15_06160|,1296
4hbt%fig|111105.14.peg.454|HR17_02330|,1296
4hbt%fig|111105.15.peg.1804|HQ40_09350|,1296
4hbt%fig|111105.16.peg.831|HQ49_04195|,1296
4hbt%fig|111105.17.peg.625|HQ46_03250|,1296
4hbt%fig|111105.18.peg.1395|HR10_06245|,1296
4hbt%fig|111105.8.peg.1942|HR13_09755|,1296
4hbt%fig|111105.9.peg.1385|HR16_07050|,1296
4hbt%fig|1111454.3.peg.1204|HMPREF1250_0755|VBIMegSp220484_1204|,1305
4hbt%fig|1120746.3.peg.3097|,1302
4hbt%fig|1120746.4.peg.3097|,1302
4hbt%fig|1120998.3.peg.64|VBIAnaOdo280910_0064|,1317
4hbt%fig|1121130.3.peg.1465|VBIButVir287785_1465|,1314
4hbt%fig|1121289.3.peg.1306|,1290
4hbt%fig|1121308.3.peg.3524|VBICloDif228225_3524|,1308
4hbt%fig|1121308.5.peg.271|VBICloDif228225_0271|,1308
4hbt%fig|1121308.8.peg.2341|CDIF1296T_02452|,1308
4hbt%fig|1121318.3.peg.1187|CLHOM_11770|,1302
4hbt%fig|1121319.3.peg.2768|,1332
4hbt%fig|1121334.3.peg.156|VBICloSpo274762_0156|,1299
4hbt%fig|1121334.3.peg.2245|VBICloSpo274762_2245|,1302
4hbt%fig|1121342.10.peg.2496|,1224
4hbt%fig|1121342.3.peg.700|VBICloTyr299133_0700|,1572
4hbt%fig|1121342.3.peg.1321|VBICloTyr299133_1321|,1302
4hbt%fig|1121342.4.peg.2016|VBICloTyr299134_2016|,1572
4hbt%fig|1121342.4.peg.2195|VBICloTyr299134_2195|,1302
4hbt%fig|1121342.5.peg.1317|VBICloTyr275351_1317|,1302
4hbt%fig|1121342.5.peg.1412|VBICloTyr275351_1412|,1572
4hbt%fig|1121344.3.peg.620|,1284
4hbt%fig|1121392.3.peg.5746|VBIDesAli277819_5746|,1395
4hbt%fig|1122219.3.peg.1653|AB840_02070|,1308
4hbt%fig|1122947.3.peg.1093|FR7_2852|VBIPelFer239387_1093|,1278
4hbt%fig|1122972.3.peg.627|VBIPorGul257315_0627|,1296
4hbt%fig|1122973.3.peg.877|VBIPorLev219790_0877|,1299
4hbt%fig|1122974.3.peg.647|VBIPorMac248466_0647|,1293
4hbt%fig|1122974.3.peg.1399|VBIPorMac248466_1399|,1308
4hbt%fig|1122975.3.peg.113|VBIPorSom219432_0113|,1044
4hbt%fig|1122976.3.peg.1368|,1287
4hbt%fig|1123032.3.peg.1109|VBIPsyAtl280547_1109|,1302
4hbt%fig|1125700.3.peg.2022|HMPREF9195_01873|VBITreMed241683_2022|,1299
4hbt%fig|1125702.3.peg.141|HMPREF1222_00135|VBITreVin241100_0141|,1299
4hbt%fig|1125722.3.peg.252|HMPREF1322_0637|VBIPorGin239392_0252|,1296
4hbt%fig|1125976.4.peg.1264|VBICloDif232925_1264|,1308
4hbt%fig|1149860.3.peg.1898|FA11_2916|VBIPelFer231349_1898|,1296
4hbt%fig|1149862.3.peg.1477|FB4_2922|VBIPelFer234065_1477|,1296
4hbt%fig|1151252.5.peg.2258|QAO_2333|VBICloDif228133_2258|,1308
4hbt%fig|1151253.5.peg.2301|QAQ_2355|VBICloDif234435_2301|,1308
4hbt%fig|1151254.5.peg.2391|QAS_2454|VBICloDif233858_2391|,1308
4hbt%fig|1151255.5.peg.2364|QAU_2371|VBICloDif236627_2364|,1308
4hbt%fig|1151256.5.peg.2530|QAW_2564|VBICloDif229574_2530|,1308
4hbt%fig|1151257.5.peg.2302|QAY_2284|VBICloDif229035_2302|,1308
4hbt%fig|1151258.5.peg.2483|QC1_2424|VBICloDif228399_2483|,1308
4hbt%fig|1151259.4.peg.2398|QC3_2371|VBICloDif239912_2398|,1308
4hbt%fig|1151260.4.peg.2392|QC5_2370|VBICloDif230966_2392|,1308
4hbt%fig|1151261.4.peg.2496|QC7_2510|VBICloDif237236_2496|,1308
4hbt%fig|1151262.4.peg.2457|QC9_2370|VBICloDif238718_2457|,1308
4hbt%fig|1151263.4.peg.2480|QCA_2523|VBICloDif236086_2480|,1308
4hbt%fig|1151264.4.peg.2078|QCC_2091|VBICloDif229479_2078|,1308
4hbt%fig|1151265.4.peg.2420|QCE_2396|VBICloDif235795_2420|,1308
4hbt%fig|1151266.4.peg.2555|QCG_2529|VBICloDif236505_2555|,1308
4hbt%fig|1151267.4.peg.2384|QCI_2320|VBICloDif239367_2384|,1308
4hbt%fig|1151268.4.peg.2795|QCK_2487|VBICloDif233992_2795|,1308
4hbt%fig|1151269.4.peg.2240|QCM_2260|VBICloDif240297_2240|,1308
4hbt%fig|1151270.4.peg.2482|QCO_2337|VBICloDif235403_2482|,1308
4hbt%fig|1151271.4.peg.2510|QCQ_2489|VBICloDif228804_2510|,1308
4hbt%fig|1151272.4.peg.2306|QCS_2344|VBICloDif239689_2306|,1308
4hbt%fig|1151273.4.peg.2288|QCU_2317|VBICloDif236660_2288|,1308
4hbt%fig|1151274.4.peg.2406|QCW_2440|VBICloDif233509_2406|,1308
4hbt%fig|1151275.4.peg.2407|QCY_2376|VBICloDif227741_2407|,1308
4hbt%fig|1151276.4.peg.2418|QE1_2450|VBICloDif230996_2418|,1308
4hbt%fig|1151277.4.peg.2689|QE3_2609|VBICloDif240023_2689|,1308
4hbt%fig|1151278.4.peg.2447|QE5_2427|VBICloDif235905_2447|,1308
4hbt%fig|1151279.4.peg.2335|QE7_2331|VBICloDif227814_2335|,1308
4hbt%fig|1151280.4.peg.2357|QE9_2368|VBICloDif229699_2357|,1308
4hbt%fig|1151281.4.peg.2474|QEA_2499|VBICloDif237685_2474|,1308
4hbt%fig|1151282.4.peg.2343|QEC_2385|VBICloDif238668_2343|,1308
4hbt%fig|1151283.4.peg.2577|QEE_2558|VBICloDif233245_2577|,1308
4hbt%fig|1151285.4.peg.2197|QEI_2384|VBICloDif234232_2197|,1308
4hbt%fig|1151286.4.peg.2582|QEK_2508|VBICloDif234189_2582|,1308
4hbt%fig|1151287.4.peg.3556|QEM_3624|VBICloDif240577_3556|,1308
4hbt%fig|1151288.4.peg.2479|QEO_2424|VBICloDif238490_2479|,1308
4hbt%fig|1151289.4.peg.2448|QEQ_2428|VBICloDif233075_2448|,1308
4hbt%fig|1151290.4.peg.2718|QES_2573|VBICloDif230773_2718|,1308
4hbt%fig|1151291.4.peg.2295|QEU_2349|VBICloDif234521_2295|,1308
4hbt%fig|1151292.4.peg.3056|QEW_2869|VBICloDif239837_3056|,1308
4hbt%fig|1151293.4.peg.2350|QEY_2366|VBICloDif235144_2350|,1308
4hbt%fig|1151294.4.peg.2665|QG1_2539|VBICloDif231775_2665|,1308
4hbt%fig|1151295.3.peg.2480|QG3_2494|VBICloDif238913_2480|,1308
4hbt%fig|1151296.4.peg.2575|QG5_2302|VBICloDif230985_2575|,1140
4hbt%fig|1151297.5.peg.2417|QG7_2417|,1308
4hbt%fig|1151298.4.peg.2334|QG9_2320|VBICloDif230200_2334|,1308
4hbt%fig|1151299.4.peg.2640|QGA_2667|VBICloDif230567_2640|,1308
4hbt%fig|1151300.4.peg.2442|QGE_2324|VBICloDif228755_2442|,1308
4hbt%fig|1151301.4.peg.2296|QGG_2322|VBICloDif240319_2296|,1308
4hbt%fig|1151303.4.peg.2321|QGK_2340|VBICloDif236188_2321|,1308
